,Site_Id,Read_Date,Salinity (ppt),Dissolved Oxygen (mg/L),pH (standard units),Secchi Depth (m),Water Depth (m),Water Temp (?C),Air Temp (?F),Time (24:00),AirTemp (C),Year
310,Bay,1997-05-16,1.3,10.2,6.6,0.35,0.7,20.5,68.36,8:38,20.2,1997
311,Bay,1997-05-24,1.6,9.9,7.5,0.38,0.5,23.0,72.14,3:21,22.3,1997
313,Bay,1997-06-08,1.0,10.5,6.3,0.1,0.15,18.0,61.7,16:48,16.5,1997
314,Bay,1997-06-21,1.5,7.5,6.5,0.4,0.7,26.5,84.02,0:28,28.9,1997
315,Bay,1997-06-27,1.5,8.5,8.0,0.5,0.62,29.0,78.4,9:36,25.77777778,1997
316,Bay,1997-07-06,1.5,7.6,6.8,0.48,0.68,27.0,76.46,11:02,24.7,1997
317,Bay,1997-07-12,1.5,8.55,6.4,0.4,0.4,27.0,80.06,1:26,26.7,1997
318,Bay,1997-07-20,1.6,8.7,7.4,0.39,0.58,27.5,83.48,11:31,28.6,1997
319,Bay,1997-07-27,1.5,9.7,7.8,0.38,0.69,27.0,86.72,17:16,30.4,1997
320,Bay,1997-07-29,1.5,8.1,8.0,0.4,0.65,28.0,82.0,0:00,27.77777778,1997
321,Bay,1997-08-09,1.7,9.8,8.6,0.38,0.5,27.5,78.62,14:52,25.9,1997
322,Bay,1997-08-15,1.7,7.7,8.2,0.45,0.63,8.4,82.6,14:24,28.11111111,1997
